pert_type,codellama_proactive_pm1_mean,codellama_proactive_pm1_n_tasks,mbpp_codellama_non-lora-top-2_mean,mbpp_codellama_non-lora-top-2_n_tasks
A1,0.3090909090909091,11,0.3090909090909091,11
A2,0.5833333333333334,6,0.375,6
A3,0.4125,8,0.21875,8
C1,0.34444444444444444,9,0.3611111111111111,9
C2,0.38666666666666666,15,0.44000000000000006,15
C3,0.34615384615384615,13,0.3692307692307692,13
D1,0.5333333333333333,9,0.5555555555555556,9
D2,0.48,10,0.39,10
D3,0.3111111111111111,9,0.2777777777777778,9
D4,0.6461538461538462,13,0.676923076923077,13
E1,0.4947368421052632,19,0.5421052631578948,19
E2,0.6125,8,0.6,6
E3,0.42500000000000004,12,0.6333333333333334,12
E4,0.38461538461538464,13,0.4076923076923077,13
E5,0.5833333333333334,12,0.5,12
E6,0.5599999999999999,10,0.5846153846153845,13
P1,0.44999999999999996,18,0.44999999999999996,18
P2,0.525,4,0.5,20
S1,0.5333333333333333,6,0.5,6
S2,0.5230769230769231,13,0.5307692307692308,13
