pert_type,top2_lora,top2_lora_n,pm1,pm1_n,non_lora_top2,non_lora_top2_n,winner
A1,0.5490909090909091,11,0.6709090909090909,11,0.6818181818181818,11,non_lora_top2
A2,1.0,6,0.8333333333333334,6,0.49833333333333335,6,top2_lora
A3,0.87,8,0.8625,8,0.48,8,top2_lora
C1,0.6844444444444444,9,0.7244444444444444,9,0.7722222222222223,9,non_lora_top2
C2,0.6920000000000001,15,0.7106666666666667,15,0.716,15,non_lora_top2
C3,0.5253846153846153,13,0.5815384615384616,13,0.6353846153846153,13,non_lora_top2
D1,0.8522222222222222,9,0.86,9,0.8844444444444445,9,non_lora_top2
D2,0.663,10,0.696,10,0.653,10,pm1
D3,0.6466666666666667,9,0.5555555555555556,9,0.5622222222222223,9,top2_lora
D4,0.9299999999999999,13,0.943076923076923,13,0.916923076923077,13,pm1
E1,0.8226315789473684,19,0.8115789473684211,19,0.7978947368421053,19,top2_lora
E2,0.985,8,0.9625,8,0.9133333333333334,6,top2_lora
E3,0.895,12,0.8983333333333333,12,0.9783333333333334,12,non_lora_top2
E4,0.7430769230769231,13,0.7338461538461539,13,0.7753846153846153,13,non_lora_top2
E5,0.8666666666666667,12,0.7916666666666666,12,0.815,12,top2_lora
E6,0.9569230769230769,13,0.9099999999999999,10,0.9107692307692308,13,top2_lora
P1,0.7981654943497049,0,0.8388888888888889,18,0.7711111111111112,18,pm1
P2,0.7981654943497049,0,0.9450000000000001,4,0.8539999999999999,20,pm1
S1,0.9233333333333333,6,0.8766666666666666,6,0.8633333333333333,6,top2_lora
S2,0.7615384615384616,13,0.8723076923076923,13,0.86,13,pm1
